Gender,Age,Specialization,Subjects_Taught,Academic_Degree,Work_Location,Years_of_Experience,School_Type,Teaching_Grades,LMS_Knowledge,LMS_Use,InteractiveQuiz_Knowledge,InteractiveQuiz_Use,InteractiveSlides_Knowledge,InteractiveSlides_Use,CollaborationTools_Knowledge,CollaborationTools_Use,DigitalAssessment_Knowledge,DigitalAssessment_Use,VideoEditing_Knowledge,VideoEditing_Use,DigitalContent_Knowledge,DigitalContent_Use,AI_LessonDesign_Knowledge,AI_LessonDesign_Use,AI_Research_Knowledge,AI_Research_Use,AI_Feedback_Knowledge,AI_Feedback_Use,AI_SelfLearning_Knowledge,AI_SelfLearning_Use,AI_Assessment_Knowledge,AI_Assessment_Use,AI_CustomPlanning_Knowledge,AI_CustomPlanning_Use,AI_ContentEnrichment_Knowledge,AI_ContentEnrichment_Use,AI_TeachingStrategies_Knowledge,AI_TeachingStrategies_Use
معلّمة,40,لغة عبرية,عبري,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,4,5,4,3,3,2,4,3,1,1,5,5,2,1,2,3,2,3,2,3,3,2,3,4,2,3,4,4,3,3
معلّمة,35,تربية خاصة,تربية اسلامية اجتماعيات,لقب ثانٍ,القدس,Developing (6–10 yrs),حكوميّة,Middle + Secondary,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,2,5,2,2,1,2,1,2,1,5,1,5,1,5,2
معلّمة,52,تربية خاصة,لغة عربية,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,3,4,3,4,3,5,3,5,4,5,4,5,4,5,5,5,3,5,3,5,3,5,3,5,3,5,3
معلّمة,52,تربية خاصة,رياضيات وعلوم,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,3,4,3,4,3,5,3,5,4,5,4,5,4,5,5,5,3,5,3,5,3,5,3,5,3,5,3
معلّمة,31,علوم,بيولوجيا,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,31,علوم,كيمياء,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,31,علوم,فيزياء,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,33,عربي- تربية خاصة,لغة عربية,لقب ثانٍ,القدس,Developing (6–10 yrs),حكوميّة,Middle,2,2,1,1,1,1,1,1,4,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,35,تدريس عام,عبري,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,3,3,3,2,2,3,3,3,3,3,2,3,4,3,3,4,4,4,2,2,3,3,4,4,1,2,3,5,3,3
معلّمة,30,لغة عربية,لغة عربي,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Primary + Middle,5,5,4,4,3,3,3,3,2,2,2,2,4,4,4,4,5,5,1,1,2,1,1,1,3,4,3,3,4,4
معلّمة,54,لغة إنجليزية,لغة إنجليزية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,2,4,4,3,1,5,4,1,1,5,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,43,بيولوجيا كيميا,بيولوجيا كيميا,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,2,2,4,4,2,2,5,5,1,1,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,4,4
معلّمة,28,علوم,علوم,لقب أوّل,الجنوب,Novice (1–5 yrs),حكوميّة,Middle,4,3,3,4,3,3,2,4,3,4,4,3,2,2,3,5,4,5,5,5,5,4,2,4,1,4,2,4,4,5
معلّمة,28,علوم,علوم سابع بيولوجيا تاسع,لقب أوّل,الشّمال,Novice (1–5 yrs),حكوميّة,Middle,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
معلّمة,39,معلمة ومركزة علوم,كيمياء بيولوجيا,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,4,4,4,4,3,3,2,5,5,2,1,5,5,3,3,4,4,1,1,1,1,1,1,3,3,5,5,3,3
معلّمة,42,عربي,لغة عربية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2
معلّم,50,رياضيات,رياضيّات,لقب ثالث,القدس,Expert (16+ yrs),حكوميّة,Middle,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1
معلّمة,42,لغة عربية,لغة عربية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
معلّمة,56,لغة عربية,لغة عربية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,4,5,2,5,3,5,2,5,2,5,1,5,5,5,5,5,5,1,1,1,1,1,1,3,1,5,3,5,3
معلّمة,49,لغة عربية واستشارة تربوية,لغة عربية ومهارات حياتية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,5,4,4,3,5,5,1,1,5,5,2,2,5,2,1,1,1,1,1,1,3,3,1,1,2,2
معلّمة,39,لغة عربية,لغة عربية,لقب أوّل,الشّمال,Experienced (11–15 yrs),حكوميّة,Primary,5,5,4,2,4,3,5,3,5,4,4,3,5,4,4,3,4,2,1,1,1,1,1,1,3,3,3,3,3,3
معلّم,35,علوم,بيولوجيا,لقب ثانٍ,الجنوب,Experienced (11–15 yrs),حكوميّة,Middle + Secondary,5,5,5,4,5,4,5,5,5,5,1,1,5,5,5,1,5,1,1,1,1,1,1,1,5,1,5,1,5,1
